Дата;Количество звезд;Комментарий;Лайки;Дизлайки
2022-09-10 19:04:28;5;Тушь как всегда супер, ни чем не отличается от магазинных. Рекомендую;0;0
2022-09-10 18:44:42;5;Тушь замечательная. Пришла плотно упакованна. Заказывала для сестры, она осталась довольна.;0;0
2022-09-10 18:40:56;5;Бессменный фаворит моей косметички;0;0
2022-09-10 18:22:56;5;"Пользуюсь этой тушью с 2007 года 
Качество все также , на высоте
Хватает надолго (5 месяцев точно)";0;0
2022-09-10 17:54:01;4;Удлиняет но не прям вау , хотелось большего конечно, думаю от наращивания ресниц я все таки не уйду 😊до и после приложила;1;0
2022-09-10 16:14:41;5;Хорошая тушь, пользуюсь ей очень давно…;0;0
2022-09-10 15:47:42;4;Упаковки не было ни какой , ни каких гарантий что не вскрывалась туш ! Оставила только потому что очень нужна была тушь , не случилось аллергии красит хорошо ... но это капец с упаковкой !!!;0;0
2022-09-10 15:25:03;5;Все отлично тушью довольна)));0;0
2022-09-10 14:27:55;5;Отличная тушь;0;0
2022-09-10 14:19:35;5;Отличная туш !;0;0
2022-09-10 13:46:29;5;Хорошая тушь!;0;0
2022-09-10 13:32:17;5;Отличная тушь, правда упаковка только валдберис;0;0
2022-09-10 11:07:31;5;тушь супер;0;0
2022-09-10 10:59:40;3;Пришла без упаковки, не известно пользовался ли кто-то уже;1;0
2022-09-10 10:51:03;5;Тушь класс;0;0
2022-09-10 10:38:53;5;Спасибо большое за заказ!;0;0
2022-09-10 10:09:37;4;Тушь отпечатывается на веках. Очень жидкая, кисточка тонкая, поэтому получаются сосульки. Возможно, она ещё подсохнет и будет лучше наноситься и не будет оставлять следы на веках;0;1
2022-09-10 09:14:54;5;🔥🔥🔥🔥нравится эта тушь;0;0
2022-09-10 01:58:28;5;Отличная тушь. Третий раз уже заказываю;0;0
2022-09-09 22:35:47;1;Мне не понравилась, тушь очень жидкая и отпечатывается на веке!;0;1
2022-09-09 22:17:55;5;Классная тушь;0;0
2022-09-09 21:13:36;5;Тушь, суперская.;0;1
2022-09-09 20:21:54;5;Любимая тушь;0;0
2022-09-09 20:20:40;5;"Спасибо
Все пришло целое";0;0
2022-09-09 19:47:07;1;Ужасная. Не советую покупать. Лучшая цена ей 100 руб;1;5
2022-09-09 18:58:07;5;Отличная тушь.Пользуюсь много лет;1;0
2022-09-09 16:28:48;1;Тушь пришла без индивидуальной упавковки, что как правило должно присутствие всегда. Уже если чесно смущает, и вызывает недоверие. Больше заказывать не буду. Уж лучше переплотить я думаю, чем брать дёшево но не понятно что.;1;5
2022-09-09 16:26:45;4;Беру не в первый раз. Все хорошо;1;1
2022-09-09 15:53:55;5;Мне очень нравится эта тушь;0;0
2022-09-09 15:41:51;5;раньше покупала в летуале, поэтому знаю что товар хороший. Бесят наклейки, которые фиг отодрешь;2;0
2022-09-09 15:20:21;5;Супер тушь,всегда заказывала и буду заказывать дальше;0;0
2022-09-09 15:03:24;5;Пользуюсь постоянно. Классная.;0;0
2022-09-09 14:44:57;4;Тушь отличная, сняла звезду за отсутствие упаковки!;1;0
2022-09-09 14:35:01;5;Хороший туш;1;0
2022-09-09 12:47:35;5;За такие деньги тушь хорошая;0;0
2022-09-09 12:24:46;3;Тушь плохая. Склеевает ресницы.Наверное подделка, не стоит выброшенных денег. Очень жаль.;1;0
2022-09-09 11:41:21;1;Подделка . Тушь пришла сухая .;3;0
2022-09-09 10:16:53;5;раньше пользовалась такой, черного цвета, мне очень нравилась. и вот заказала экстра черную. супер тушь!!! цена-подарок!!! заказала еще, про запас.;2;0
2022-09-09 10:04:37;1;Все время здесь заказываю... Все было отлично... В этот раз пришел тюбик не упакованный весь потертый... И такое ощущение уже вскрытый... Огорчена;2;0
2022-09-09 09:27:23;5;Хорошая тушь;0;0
2022-09-09 07:54:55;1;НЕ РЕКОМЕНДУЮ! ❌ Подделка чистой воды, никогда за сколько лет я ещё не покупала не запаянную тушь, это первое, а второе все знают что при первом нанесении туши она тонко ложится на ресницы и приходиться немного ждать снова проводить по ресницам, эта же легла похуже Ленинградской туши (кто помнит это чудо) кусками. ПОДДЕЛКА!;6;4
2022-09-09 07:32:41;5;Заказываем уже не первый раз, тушь супер 👍 спасибо за такую низкую цену иивысокое качество товара❤️;0;0
2022-09-09 07:29:42;5;Понравилась. Пришла в упаковке.;0;0
2022-09-09 06:47:32;5;Всё отлично, тушь классная;0;0
2022-09-09 06:37:50;4;Пришла в упаковке, но была сама тушь как будто не до конца закрыта   .. Вроде не высохла, качество пока непонятно, вроде такая же как в Летуаль;1;0
2022-09-09 03:54:17;2;Не понравилась, однозначно подделка;0;0
2022-09-09 03:46:53;5;Любимая тушь;0;0
2022-09-09 03:33:40;5;Тушь, понравилась. Хорошо удлиняет и разделяет реснички. Давно хотела её приобрести. Дождалась хорошей скидки😁;0;1
2022-09-08 23:35:31;5;не понимаю почему здесь даже 4 звезд нет,отличная,хорошо упакована,только эта наклейка от вб….;1;1
2022-09-08 21:52:14;2;Тушь не упакована, как будто кто то пользовались уже. Я такой пользуюсь давно, но тут заказала первый раз, дико видеть такое,,,;3;0
2022-09-08 21:45:41;5;Самая лучшая удлиняющая тушь;1;0
2022-09-08 19:25:04;3;Тушь пришла  не упакованая, закручивающий колпачок  был  с дефектом. Тушь не сухая, буду пробовать на деле.  Но корпус  туши конечно  подвёл;2;0
2022-09-08 18:51:45;3;Как то сэкономили на упаковке, только в пакетике, и колпачок не склеен, то есть кто то открывал её возможно, но я об этом неузнаю.;2;0
2022-09-08 18:33:12;5;"Спасибо большое! 
Тушь отличная! Сравнивала стой что пользуюсь (брала в летуаль) один в один. 
Только там брала за восемьсот с копейками, а здесь около пятиста. 
Единственное пришла без всякой упаковочки/плёнки, но все хорошо не сухая.";3;2
2022-09-08 18:10:51;1;Ужас. Пришло без упаковки. Даже в пакетик не положили. Не советую. Сама заказывать больше не буду;3;0
2022-09-08 17:55:09;5;Срок до 25 года;1;0
2022-09-08 16:52:33;5;Моим коротким ресницам помогает только эта тушь !;1;0
2022-09-08 14:48:42;5;Тушь замечательная 👍👍👍👍;0;0
2022-09-08 14:30:31;5;Хорошая тушь;0;0
2022-09-08 12:26:43;5;Пушка бомба.;0;0
2022-09-08 09:47:41;5;Даже если это не оригинал, я разницы не заметила, ресницы длинные и не осыпается;2;0
2022-09-08 09:00:02;5;Классная тушь!;0;0
2022-09-08 08:57:31;5;Тушь была не запечатана, просто вот с такой наклейкой((( но Звезду снимать не стала, потому что я ее очень долго искала и наконец она у меня😍;3;0
2022-09-08 07:42:08;5;Тушь хорошая, давно такай пользуюсь но пришла открытая;2;0
2022-09-08 07:29:57;1;"Сколько лет пользуюсь Телескопиком,но первый раз пришла такая ужасная.
Ей уже точно кто то пользовался.
Штрих-код стёрт наполовину, полусухая в нутри.
Не рекомендую этого продавца!";7;1
2022-09-08 07:27:25;5;Отличная тушь;0;0
2022-09-08 06:27:22;4;Хорошая тушь ,но не понятно почему нет срока годности! С печатью(нижняя тушь)  покупала в летуале !;3;0
2022-09-08 04:50:17;3;Прям оочеень смешанные впечатления. Тушью этой пользуюсь постоянно, покупаю на WB. В это раз эффекта Ввваауу, к большому сожалению и разочарованию нет. Не удлиняет. Очень непросто прокрасить ресницы - вроде и тушь на кисточке присутствует, и срок использования до апреля 2025, но... Не прокрашивает! Видимо, качество стало отвратительным. НО это претензии не к магазину. Однозначно, не рекомендую данную тушь.;3;1
2022-09-07 23:28:59;3;Тушь без какой либо упаковки.;3;0
2022-09-07 23:25:29;4;Тушь не плохая , но не оригинал.  жидкая и склеивает ресницы.;2;2
2022-09-07 22:42:47;3;Тушь пришла без обертки,в магазине всегда на ней дополнительная пленка.Больше заказывать не буду здесь.;5;0
2022-09-07 22:30:59;5;Самая любимая тушь на протяжении более десяти лет ! Не склеивает ресницы, хорошо прокрашивает , удлиняет без перебора !;2;1
2022-09-07 21:33:01;5;Всё соответствует;1;0
2022-09-07 21:15:46;5;Очень классная тушь, советую🤍;0;1
2022-09-07 20:33:33;1;Тушь вообще без упаковки. Как же так? Не запечатана даже? А если ее открывали? Ужасно;3;1
2022-09-07 20:27:14;5;Пользуюсь много лет, довольна;0;1
2022-09-07 20:00:43;5;Я читаю и мне смешно уже. Все возмущаются, что нет упаковки, но тушь забирают)). Я проверила срок и взяла без возмущений );4;3
2022-09-07 19:32:18;5;Туш отлично👍 , единственное нет упаковки это минус.;2;0
2022-09-07 19:24:45;2;Пришла тушь не упакована,совсем!Хоть бы в пакетик запаяли.Беру первый раз,качество сравнить не с чем.;0;0
2022-09-07 19:22:51;1;"Пришел в ужасном состоянии
Без пакета, может им вообще пользовались может";1;0
2022-09-07 17:23:22;5;Тушь отличная, заказываю уже третий раз . Все отлично упаковано , к покупке рекомендую;0;0
2022-09-07 17:13:15;5;Тушь замечательная,цена ещё лучше,упакована в пленку;0;0
2022-09-07 17:13:14;5;Почти похожа на оригинал;1;0
2022-09-07 16:21:12;5;Отличный товар;0;0
2022-09-07 16:09:48;5;Тушь удлиняет ресницы  рекомендую;0;0
2022-09-07 16:09:16;5;Все супер тушь  просто  огонь 🔥🔥🔥;0;0
2022-09-07 16:00:07;5;Не первый раз беру,нравится;0;0
2022-09-07 15:52:26;5;Спасибо большое за тушь,  хорошо упакованную.  Красит отлично,  как с Летуаля.  Но цена в этот раз просто подарок.  Очень благодарны!;0;1
